draw_date,winning_numbers,mega_ball,double_play_winning_numbers
2019-12-13,17 21 29 39 56,22,
2019-12-10,18 31 46 54 61,25,
2019-12-06,20 31 40 46 61,20,
2019-12-03,23 43 60 63 69,19,
2019-11-29,06 08 31 50 65,9,
2019-11-26,08 27 29 38 43,13,
2019-11-22,07 12 17 49 53,24,
2019-11-19,22 43 44 47 66,22,
2019-11-15,12 19 34 35 68,20,
2019-11-12,19 30 44 56 65,24,
2019-11-08,03 04 10 39 58,14,
2019-11-05,02 09 24 49 54,19,
2019-11-01,09 20 36 41 54,22,
2019-10-29,04 09 17 27 39,22,
2019-10-25,16 24 25 52 60,6,
2019-10-22,05 11 14 23 25,10,
2019-10-18,18 58 60 65 67,20,
2019-10-15,04 12 14 35 70,2,
2019-10-11,14 22 30 37 60,8,
2019-10-08,05 08 10 17 48,23,
2019-10-04,11 38 44 48 70,17,
2019-10-01,10 17 39 42 59,3,
2019-09-27,12 20 31 43 45,20,
2019-09-24,06 14 24 42 46,9,
2019-09-20,23 24 42 48 53,22,
2019-09-17,12 15 30 50 65,1,
2019-09-13,06 16 37 59 62,5,
2019-09-10,34 47 48 50 55,24,
2019-09-06,04 11 13 19 31,10,
2019-09-03,13 20 27 61 62,5,
2019-08-30,03 09 11 34 39,10,
2019-08-27,08 12 23 39 43,6,
2019-08-23,11 15 37 54 68,21,
2019-08-20,08 14 25 51 63,4,
2019-08-16,04 14 24 26 46,14,
2019-08-13,07 27 31 34 51,5,
2019-08-09,15 53 56 59 63,1,
2019-08-06,11 17 31 43 55,16,
2019-08-02,11 20 26 48 70,19,
2019-07-30,10 24 28 33 38,6,
2019-07-26,04 06 11 43 48,11,
2019-07-23,01 04 23 40 45,11,
2019-07-19,16 18 28 33 67,14,
2019-07-16,08 16 31 48 52,23,
2019-07-12,08 25 38 56 59,7,
2019-07-09,12 26 40 48 64,1,
2019-07-05,06 38 47 57 63,12,
2019-07-02,03 25 37 40 55,13,
2019-06-28,02 35 49 53 63,1,
2019-06-25,24 33 45 47 61,17,
2019-06-21,13 30 36 48 62,18,
2019-06-18,12 14 22 24 48,21,
2019-06-14,19 40 47 57 65,6,
2019-06-11,20 34 39 43 57,13,
2019-06-07,17 19 27 40 68,2,
2019-06-04,25 37 46 48 68,25,
2019-05-31,07 08 26 65 67,4,
2019-05-28,09 21 34 42 50,21,
2019-05-24,14 41 44 56 62,10,
2019-05-21,10 50 55 56 58,15,
2019-05-17,05 17 28 32 63,11,
2019-05-14,11 59 66 67 68,18,
2019-05-10,03 16 21 61 62,19,
2019-05-07,03 06 34 54 63,19,
2019-05-03,08 16 22 66 68,11,
2019-04-30,24 37 41 61 70,20,
2019-04-26,09 17 23 30 46,10,
2019-04-23,07 24 30 48 67,9,
2019-04-19,18 25 43 44 57,25,
2019-04-16,11 29 34 48 54,10,
2019-04-12,01 24 25 40 70,4,
2019-04-09,11 22 34 44 58,9,
2019-04-05,08 22 24 38 64,21,
2019-04-02,33 47 58 59 64,25,
2019-03-29,05 14 15 62 66,3,
2019-03-26,04 14 22 43 58,9,
2019-03-22,07 36 58 60 62,10,
2019-03-19,10 42 53 67 68,15,
2019-03-15,03 29 56 62 64,4,
2019-03-12,10 12 16 49 57,18,
2019-03-08,04 09 42 62 68,7,
2019-03-05,15 20 32 37 52,6,
2019-03-01,29 33 39 60 66,21,
2019-02-26,10 12 14 24 60,20,
2019-02-22,18 24 31 34 55,4,
2019-02-19,17 24 34 56 65,3,
2019-02-15,10 38 40 43 65,12,
2019-02-12,15 32 39 50 65,7,
2019-02-08,14 24 31 42 48,13,
2019-02-05,03 34 36 59 66,7,
2019-02-01,02 37 48 66 68,11,
2019-01-29,10 33 53 54 62,22,
2019-01-25,08 16 30 38 61,10,
2019-01-22,04 15 37 59 64,16,
2019-01-18,02 43 48 62 64,24,
2019-01-15,29 52 58 60 62,7,
2019-01-11,04 05 31 62 69,20,
2019-01-08,13 26 29 38 64,5,
2019-01-04,21 29 35 54 60,15,
2019-01-01,34 44 57 62 70,14,
2018-12-28,09 10 25 37 38,21,
2018-12-25,02 08 42 43 50,6,
2018-12-21,10 13 61 62 70,5,
2018-12-18,13 22 32 60 69,9,
2018-12-14,05 22 26 43 49,23,
2018-12-11,04 38 39 54 59,12,
2018-12-07,04 10 20 33 57,13,
2018-12-04,28 31 41 42 50,4,
2018-11-30,25 28 40 43 63,19,
2018-11-27,12 24 37 42 57,18,
2018-11-23,07 10 30 33 59,23,
2018-11-20,10 16 31 42 66,10,
2018-11-16,33 36 63 68 69,16,
2018-11-13,34 46 57 65 69,11,
2018-11-09,08 14 27 57 67,5,
2018-11-06,28 34 37 56 69,12,
2018-11-02,03 23 28 46 62,16,
2018-10-30,20 31 39 46 49,23,
2018-10-26,01 28 61 62 63,5,
2018-10-23,05 28 62 65 70,5,
2018-10-19,15 23 53 65 70,7,
2018-10-16,03 45 49 61 69,9,
2018-10-12,04 24 46 61 70,7,
2018-10-09,20 22 39 54 60,18,
2018-10-05,27 28 32 41 69,12,
2018-10-02,02 22 29 31 34,1,
2018-09-28,39 45 52 56 59,15,
2018-09-25,08 16 32 48 61,12,
2018-09-21,01 02 11 52 64,9,
2018-09-18,31 32 43 63 68,17,
2018-09-14,23 30 40 43 66,13,
2018-09-11,15 30 51 62 67,19,
2018-09-07,08 10 41 54 68,10,
2018-09-04,02 07 25 35 44,3,
2018-08-31,07 18 29 32 45,17,
2018-08-28,03 20 33 34 41,20,
2018-08-24,01 06 13 18 49,8,
2018-08-21,14 16 19 38 57,11,
2018-08-17,01 31 32 47 56,3,
2018-08-14,11 26 44 45 46,11,
2018-08-10,01 03 12 22 42,6,
2018-08-07,02 13 15 21 62,2,
2018-08-03,09 28 30 54 60,2,
2018-07-31,12 15 35 64 69,9,
2018-07-27,01 32 40 49 63,20,
2018-07-24,01 02 04 19 29,20,
2018-07-20,01 14 30 44 62,1,
2018-07-17,40 41 61 66 67,12,
2018-07-13,21 22 39 59 68,2,
2018-07-10,01 17 28 56 70,14,
2018-07-06,02 10 46 50 56,16,
2018-07-03,13 35 45 49 68,23,
2018-06-29,02 32 47 49 68,23,
2018-06-26,17 25 29 39 60,19,
2018-06-22,02 06 11 27 44,20,
2018-06-19,11 13 28 65 70,14,
2018-06-15,01 11 37 47 51,6,
2018-06-12,01 03 05 08 70,3,
2018-06-08,14 30 33 44 56,13,
2018-06-05,22 33 41 48 52,4,
2018-06-01,05 24 52 62 66,17,
2018-05-29,02 11 55 58 67,2,
2018-05-25,11 14 51 64 68,25,
2018-05-22,16 17 21 36 48,9,
2018-05-18,09 26 53 64 66,11,
2018-05-15,21 34 44 49 61,21,
2018-05-11,14 38 40 53 70,22,
2018-05-08,08 15 39 64 67,13,
2018-05-04,04 05 10 12 18,21,
2018-05-01,02 07 20 55 70,1,
2018-04-27,02 29 38 63 66,11,
2018-04-24,03 19 31 32 48,10,
2018-04-20,01 15 18 32 45,4,
2018-04-17,12 34 44 47 65,22,
2018-04-13,08 09 32 42 59,10,
2018-04-10,05 13 31 43 53,20,
2018-04-06,16 33 51 54 67,20,
2018-04-03,04 29 39 42 62,14,
2018-03-30,11 28 31 46 59,1,
2018-03-27,07 25 43 56 59,13,
2018-03-23,04 08 23 53 59,17,
2018-03-20,14 38 51 64 70,9,
2018-03-16,01 13 26 33 52,11,
2018-03-13,06 30 58 60 61,17,
2018-03-09,07 17 18 46 66,22,
2018-03-06,01 04 26 35 39,22,
2018-03-02,24 28 42 60 64,8,
2018-02-27,10 17 21 38 43,23,
2018-02-23,07 11 13 19 58,9,
2018-02-20,17 19 23 24 43,14,
2018-02-16,14 38 48 53 58,16,
2018-02-13,05 12 15 46 49,1,
2018-02-09,28 34 41 46 47,14,
2018-02-06,14 17 25 48 58,25,
2018-02-02,01 04 14 17 40,4,
2018-01-30,29 41 42 49 57,24,
2018-01-26,10 16 27 38 43,1,
2018-01-23,02 06 30 31 55,7,
2018-01-19,03 17 23 49 66,23,
2018-01-16,03 11 23 29 59,18,
2018-01-12,17 18 33 46 60,24,
2018-01-09,16 29 31 65 67,23,
2018-01-05,28 30 39 59 70,10,
2018-01-02,01 42 47 64 70,22,
2017-12-29,04 10 18 28 62,7,
2017-12-26,10 12 20 38 41,25,
2017-12-22,01 20 30 33 42,16,
2017-12-19,28 37 39 42 58,2,
2017-12-15,04 12 36 44 57,19,
2017-12-12,08 23 24 25 27,9,
2017-12-08,06 37 46 60 70,24,
2017-12-05,14 15 37 42 67,22,
2017-12-01,16 22 40 41 59,8,
2017-11-28,10 17 47 51 61,5,
2017-11-24,16 36 54 61 64,22,
2017-11-21,03 07 22 27 50,3,
2017-11-17,03 26 55 58 70,15,
2017-11-14,01 14 21 22 28,19,
2017-11-10,06 23 38 42 58,24,
2017-11-07,01 54 60 68 69,11,
2017-11-03,10 22 42 61 69,3,
2017-10-31,06 28 31 52 53,12,
2017-10-27,17 27 41 51 52,13,
2017-10-24,20 24 34 56 64,6,
2017-10-20,06 23 63 66 73,9,
2017-10-17,31 45 49 56 70,11,
2017-10-13,02 07 18 26 31,12,
2017-10-10,07 16 24 61 62,2,
2017-10-06,21 33 36 45 56,12,
2017-10-03,12 18 19 25 67,7,
2017-09-29,25 51 62 73 74,7,
2017-09-26,01 10 57 66 75,4,
2017-09-22,05 39 54 63 66,15,
2017-09-19,09 28 31 50 61,10,
2017-09-15,18 24 34 38 58,3,
2017-09-12,26 37 41 54 65,3,
2017-09-08,04 05 14 26 73,14,
2017-09-05,11 17 59 70 72,1,
2017-09-01,04 13 31 50 64,12,
2017-08-29,02 13 17 35 73,3,
2017-08-25,17 38 42 51 65,11,
2017-08-22,24 35 46 50 51,7,
2017-08-18,01 31 34 40 75,6,
2017-08-15,07 16 20 66 73,7,
2017-08-11,23 33 53 56 58,6,
2017-08-08,11 17 50 52 74,14,
2017-08-04,09 17 25 63 71,4,
2017-08-01,20 22 52 57 73,7,
2017-07-28,04 06 31 49 52,11,
2017-07-25,02 05 26 58 60,6,
2017-07-21,18 31 36 50 74,10,
2017-07-18,08 12 23 51 73,6,
2017-07-14,11 12 24 32 73,1,
2017-07-11,07 18 24 55 74,10,
2017-07-07,02 09 11 28 60,10,
2017-07-04,16 39 47 53 71,15,
2017-06-30,10 38 51 55 64,6,
2017-06-27,04 21 45 52 57,14,
2017-06-23,12 20 53 66 74,11,
2017-06-20,02 15 41 49 63,3,
2017-06-16,18 22 26 30 44,9,
2017-06-13,27 51 62 68 75,8,
2017-06-09,03 16 28 33 37,9,
2017-06-06,03 05 16 49 75,5,
2017-06-02,07 42 57 69 72,10,
2017-05-30,05 20 32 37 67,5,
2017-05-26,25 26 28 37 56,5,
2017-05-23,06 13 17 33 60,14,
2017-05-19,01 04 05 24 30,1,
2017-05-16,04 35 39 56 72,11,
2017-05-12,28 34 41 42 47,13,
2017-05-09,06 29 45 69 73,11,
2017-05-05,04 23 33 47 53,7,
2017-05-02,05 14 42 43 58,1,
2017-04-28,06 13 18 20 31,13,
2017-04-25,03 13 33 40 50,2,
2017-04-21,01 12 13 32 34,10,
2017-04-18,08 29 30 43 64,6,
2017-04-14,05 10 55 60 73,12,
2017-04-11,19 34 35 38 49,8,
2017-04-07,30 33 43 47 69,15,
2017-04-04,13 24 34 35 55,9,
2017-03-31,17 24 27 32 58,10,
2017-03-28,30 33 35 37 46,10,
2017-03-24,05 28 37 61 69,1,
2017-03-21,04 45 53 73 75,7,
2017-03-17,11 27 31 58 60,10,
2017-03-14,16 23 28 33 59,13,
2017-03-10,26 38 42 58 70,5,
2017-03-07,03 30 45 53 68,11,
2017-03-03,14 26 39 48 51,9,
2017-02-28,20 33 45 58 69,4,
2017-02-24,12 29 33 42 68,14,
2017-02-21,09 21 30 32 75,9,
2017-02-17,04 56 58 67 75,8,
2017-02-14,07 11 33 60 68,15,
2017-02-10,32 39 51 62 75,14,
2017-02-07,23 28 37 56 71,12,
2017-02-03,03 06 29 30 64,3,
2017-01-31,03 14 27 62 72,4,
2017-01-27,17 37 53 54 61,8,
2017-01-24,08 42 54 63 67,11,
2017-01-20,07 09 24 41 53,14,
2017-01-17,20 31 54 56 59,3,
2017-01-13,10 44 58 74 75,11,
2017-01-10,11 20 40 41 59,15,
2017-01-06,06 10 44 47 54,6,
2017-01-03,14 16 23 49 53,12,
2016-12-30,06 21 33 39 43,2,
2016-12-27,02 28 30 38 39,11,
2016-12-23,21 30 39 60 69,15,
2016-12-20,01 12 14 48 65,2,
2016-12-16,01 08 15 36 43,6,
2016-12-13,02 15 26 34 41,14,
2016-12-09,19 27 47 67 68,1,
2016-12-06,13 34 48 53 63,12,
2016-12-02,03 33 35 49 51,1,
2016-11-29,22 33 49 51 59,8,
2016-11-25,44 47 49 69 75,10,
2016-11-22,01 43 45 66 69,7,
2016-11-18,31 32 49 55 58,15,
2016-11-15,09 17 23 57 71,6,
2016-11-11,16 40 47 53 59,11,
2016-11-08,46 48 53 61 74,12,
2016-11-04,10 29 32 44 46,10,
2016-11-01,19 24 31 39 45,13,
2016-10-28,07 38 46 57 66,2,
2016-10-25,08 09 24 49 67,13,
2016-10-21,12 43 44 48 66,3,
2016-10-18,07 24 28 65 74,1,
2016-10-14,07 27 60 64 74,5,
2016-10-11,36 39 42 45 48,3,
2016-10-07,24 37 42 50 65,14,
2016-10-04,18 29 30 54 66,1,
2016-09-30,21 30 47 50 57,9,
2016-09-27,14 16 26 53 72,4,
2016-09-23,01 05 08 25 62,14,
2016-09-20,02 22 34 62 72,2,
2016-09-16,13 21 28 34 40,15,
2016-09-13,06 15 17 39 56,15,
2016-09-09,01 34 43 44 63,11,
2016-09-06,25 37 58 69 75,8,
2016-09-02,22 28 41 46 60,3,
2016-08-30,28 32 41 51 71,11,
2016-08-26,10 11 31 41 44,14,
2016-08-23,02 07 46 61 66,1,
2016-08-19,22 37 45 65 73,13,
2016-08-16,02 43 52 62 63,6,
2016-08-12,04 41 44 56 69,10,
2016-08-09,12 19 20 44 66,1,
2016-08-05,05 18 28 54 74,6,
2016-08-02,03 12 36 54 70,12,
2016-07-29,11 16 19 31 48,4,
2016-07-26,01 04 31 36 54,9,
2016-07-22,08 24 25 26 30,7,
2016-07-19,03 34 54 65 66,4,
2016-07-15,16 51 52 56 58,4,
2016-07-12,06 08 22 46 68,4,
2016-07-08,08 19 20 55 73,5,
2016-07-05,29 46 53 64 73,10,
2016-07-01,20 41 42 45 49,14,
2016-06-28,15 17 20 35 55,7,
2016-06-24,11 14 54 57 63,11,
2016-06-21,06 13 21 49 50,10,
2016-06-17,20 23 30 44 59,9,
2016-06-14,36 37 38 52 62,6,
2016-06-10,34 61 66 67 68,7,
2016-06-07,25 48 51 65 72,4,
2016-06-03,32 54 65 66 71,10,
2016-05-31,09 31 34 41 49,8,
2016-05-27,18 41 50 68 70,9,
2016-05-24,11 50 51 70 75,15,
2016-05-20,19 24 26 40 68,8,
2016-05-17,17 24 27 48 75,6,
2016-05-13,20 21 38 54 66,7,
2016-05-10,12 22 46 56 74,4,
2016-05-06,14 26 27 32 36,7,
2016-05-03,28 29 33 36 45,15,
2016-04-29,05 06 37 55 74,10,
2016-04-26,14 16 17 28 48,2,
2016-04-22,02 19 21 42 60,13,
2016-04-19,09 28 40 57 65,2,
2016-04-15,09 10 34 37 73,9,
2016-04-12,07 11 59 62 63,3,
2016-04-08,31 38 52 65 71,15,
2016-04-05,13 45 52 53 57,10,
2016-04-01,25 28 33 41 69,6,
2016-03-29,33 38 40 46 49,15,
2016-03-25,04 11 12 35 46,12,
2016-03-22,06 19 34 38 70,5,
2016-03-18,05 08 57 59 73,13,
2016-03-15,18 26 30 44 68,7,
2016-03-11,14 18 48 54 71,13,
2016-03-08,27 37 54 66 69,5,
2016-03-04,21 26 33 48 73,14,
2016-03-01,01 29 33 34 55,6,
2016-02-26,03 15 19 62 74,14,
2016-02-23,16 32 39 53 57,10,
2016-02-19,02 27 41 50 75,4,
2016-02-16,09 31 33 46 64,4,
2016-02-12,01 07 44 68 73,1,
2016-02-09,03 42 46 56 71,13,
2016-02-05,04 06 23 55 75,2,
2016-02-02,07 13 25 51 70,9,
2016-01-29,20 28 49 51 52,6,
2016-01-26,14 27 39 50 69,2,
2016-01-22,21 25 40 46 56,3,
2016-01-19,02 17 31 39 47,9,
2016-01-15,29 41 53 54 70,12,
2016-01-12,15 27 29 31 48,15,
2016-01-08,11 39 51 57 75,2,
2016-01-05,01 04 36 48 57,13,
2016-01-01,07 18 37 38 39,9,
2015-12-29,20 25 55 62 74,7,
2015-12-25,15 25 29 44 51,4,
2015-12-22,11 21 40 50 70,15,
2015-12-18,06 23 24 28 62,7,
2015-12-15,18 25 47 51 61,5,
2015-12-11,14 20 43 54 69,5,
2015-12-08,07 17 37 49 73,15,
2015-12-04,26 42 47 61 73,6,
2015-12-01,05 07 25 50 59,12,
2015-11-27,16 20 39 56 59,12,
2015-11-24,02 19 30 38 70,8,
2015-11-20,09 12 29 37 67,15,
2015-11-17,12 14 18 24 61,10,
2015-11-13,17 18 31 35 59,9,
2015-11-10,08 17 20 45 71,4,
2015-11-06,10 31 35 50 72,8,
2015-11-03,16 29 44 69 74,12,
2015-10-30,17 41 51 53 56,15,
2015-10-27,09 26 27 29 74,4,
2015-10-23,25 32 37 45 70,1,
2015-10-20,06 25 35 38 52,4,
2015-10-16,02 38 48 61 68,4,
2015-10-13,07 09 24 38 52,1,
2015-10-09,08 09 21 63 75,14,
2015-10-06,17 58 63 64 66,13,
2015-10-02,04 14 29 31 47,9,
2015-09-29,08 21 30 61 62,9,
2015-09-25,03 08 38 51 64,4,
2015-09-22,28 30 38 45 51,8,
2015-09-18,17 34 35 51 65,7,
2015-09-15,07 20 35 49 56,9,
2015-09-11,05 11 31 50 67,14,
2015-09-08,19 20 36 41 46,7,
2015-09-04,17 21 39 52 57,5,
2015-09-01,02 05 35 40 54,13,
2015-08-28,13 35 40 60 68,9,
2015-08-25,05 44 54 59 63,1,
2015-08-21,13 15 21 41 72,1,
2015-08-18,02 07 33 39 53,9,
2015-08-14,12 15 20 52 71,3,
2015-08-11,03 08 29 57 68,8,
2015-08-07,01 38 53 63 66,10,
2015-08-04,02 19 44 51 57,14,
2015-07-31,28 32 33 40 46,10,
2015-07-28,08 35 61 68 75,15,
2015-07-24,10 12 26 60 62,13,
2015-07-21,20 30 62 65 74,1,
2015-07-17,06 17 30 31 41,15,
2015-07-14,19 24 30 35 72,5,
2015-07-10,24 27 45 51 54,8,
2015-07-07,06 15 16 28 49,14,
2015-07-03,33 50 64 71 72,9,
2015-06-30,11 17 34 43 50,15,
2015-06-26,12 23 33 47 50,3,
2015-06-23,06 13 38 56 70,2,
2015-06-19,04 35 36 52 68,8,
2015-06-16,08 19 26 56 67,14,
2015-06-12,01 40 42 56 62,2,
2015-06-09,06 16 17 25 36,7,
2015-06-05,07 22 27 41 49,10,
2015-06-02,02 09 11 22 23,12,
2015-05-29,20 27 38 49 66,2,
2015-05-26,01 39 52 69 72,12,
2015-05-22,03 14 15 25 48,8,
2015-05-19,10 12 21 29 65,10,
2015-05-15,11 17 21 36 74,15,
2015-05-12,14 30 33 36 44,2,
2015-05-08,09 21 25 66 72,7,
2015-05-05,11 21 42 62 71,7,
2015-05-01,17 18 61 66 74,3,
2015-04-28,22 27 55 58 63,11,
2015-04-24,24 25 29 47 67,4,
2015-04-21,31 33 35 41 69,11,
2015-04-17,15 18 29 41 50,5,
2015-04-14,03 07 25 68 71,3,
2015-04-10,06 11 32 46 68,9,
2015-04-07,05 15 22 26 64,6,
2015-04-03,10 36 47 63 74,2,
2015-03-31,08 26 41 61 73,11,
2015-03-27,17 21 36 58 70,3,
2015-03-24,02 23 32 45 55,12,
2015-03-20,07 50 54 61 75,7,
2015-03-17,11 27 44 45 58,3,
2015-03-13,08 22 30 42 45,3,
2015-03-10,10 14 19 30 73,14,
2015-03-06,30 48 55 68 73,5,
2015-03-03,09 11 42 44 50,3,
2015-02-27,07 49 53 60 64,4,
2015-02-24,15 23 26 45 66,4,
2015-02-20,02 06 08 52 66,13,
2015-02-17,06 45 50 65 66,1,
2015-02-13,04 20 44 65 74,14,
2015-02-10,07 42 53 58 71,15,
2015-02-06,05 06 17 33 68,13,
2015-02-03,11 22 25 58 69,13,
2015-01-30,18 31 39 45 55,6,
2015-01-27,05 26 27 44 57,7,
2015-01-23,14 15 32 68 72,8,
2015-01-20,31 35 56 59 63,6,
2015-01-16,26 32 44 45 58,11,
2015-01-13,12 20 25 50 51,7,
2015-01-09,37 49 50 56 57,8,
2015-01-06,12 20 27 38 75,4,
2015-01-02,13 15 35 62 74,12,
2014-12-30,03 07 44 63 67,12,
2014-12-26,02 05 10 20 38,14,
2014-12-23,04 10 31 56 66,7,
2014-12-19,14 18 58 59 68,4,
2014-12-16,41 58 68 72 73,1,
2014-12-12,02 31 46 58 65,7,
2014-12-09,27 45 49 51 52,14,
2014-12-05,04 05 11 51 59,5,
2014-12-02,13 18 22 49 62,11,
2014-11-28,08 26 29 36 47,10,
2014-11-25,10 11 29 47 56,4,
2014-11-21,03 12 35 37 63,15,
2014-11-18,37 39 53 68 75,6,
2014-11-14,03 49 61 62 68,15,
2014-11-11,23 25 28 30 75,11,
2014-11-07,31 35 41 65 66,5,
2014-11-04,09 15 24 39 41,1,
2014-10-31,11 29 36 58 67,15,
2014-10-28,03 50 57 58 60,11,
2014-10-24,02 14 21 28 55,3,
2014-10-21,05 35 37 41 66,11,
2014-10-17,21 31 43 56 60,12,
2014-10-14,11 37 46 64 68,15,
2014-10-10,02 32 35 50 59,3,
2014-10-07,16 29 46 48 55,2,
2014-10-03,03 20 34 58 67,6,
2014-09-30,03 16 52 54 61,6,
2014-09-26,17 26 35 46 62,9,
2014-09-23,21 24 25 40 43,12,
2014-09-19,16 25 27 29 34,2,
2014-09-16,25 45 51 53 73,2,
2014-09-12,18 28 33 36 42,7,
2014-09-09,25 34 55 70 71,1,
2014-09-05,07 12 20 24 59,7,
2014-09-02,01 08 54 69 72,1,
2014-08-29,03 26 45 58 73,12,
2014-08-26,29 31 51 60 64,1,
2014-08-22,05 31 34 41 74,3,
2014-08-19,22 39 56 67 71,15,
2014-08-15,16 19 28 29 68,9,
2014-08-12,32 53 60 63 68,6,
2014-08-08,09 16 61 70 75,7,
2014-08-05,25 28 36 45 53,6,
2014-08-01,13 29 34 37 72,6,
2014-07-29,02 08 16 43 74,1,
2014-07-25,22 29 33 41 68,12,
2014-07-22,14 18 22 31 47,15,
2014-07-18,05 08 59 65 72,3,
2014-07-15,02 04 17 36 40,5,
2014-07-11,09 13 30 35 69,10,
2014-07-08,14 25 27 48 49,9,
2014-07-04,16 33 39 58 69,2,
2014-07-01,09 22 38 47 49,15,
2014-06-27,15 29 31 46 64,10,
2014-06-24,13 17 24 47 65,10,
2014-06-20,01 22 25 29 56,3,
2014-06-17,10 14 24 47 60,3,
2014-06-13,07 38 46 49 56,1,
2014-06-10,02 10 24 26 74,7,
2014-06-06,12 29 37 49 72,9,
2014-06-03,19 28 62 66 74,6,
2014-05-30,10 13 42 43 62,2,
2014-05-27,01 06 10 46 58,13,
2014-05-23,12 14 21 38 70,15,
2014-05-20,10 40 63 64 69,7,
2014-05-16,13 14 16 50 56,11,
2014-05-13,37 46 48 70 74,1,
2014-05-09,10 28 39 51 59,14,
2014-05-06,18 20 27 48 51,5,
2014-05-02,01 18 26 35 40,13,
2014-04-29,07 43 59 61 66,3,
2014-04-25,03 11 18 20 66,9,
2014-04-22,02 18 19 49 50,1,
2014-04-18,18 25 38 45 63,9,
2014-04-15,04 39 46 47 70,13,
2014-04-11,03 42 44 47 57,8,
2014-04-08,35 36 41 60 71,3,
2014-04-04,01 10 15 41 54,9,
2014-04-01,10 23 68 74 75,9,
2014-03-28,02 03 09 50 73,12,
2014-03-25,19 26 51 57 73,15,
2014-03-21,02 23 30 35 53,10,
2014-03-18,11 19 24 33 51,7,
2014-03-14,07 20 40 54 69,12,
2014-03-11,09 14 56 57 69,10,
2014-03-07,11 13 51 57 69,1,
2014-03-04,10 29 31 35 45,10,
2014-02-28,03 31 50 58 59,6,
2014-02-25,12 18 25 35 66,15,
2014-02-21,23 29 32 45 46,15,
2014-02-18,23 29 31 37 70,14,
2014-02-14,20 28 35 71 72,7,
2014-02-11,43 64 67 71 73,4,
2014-02-07,11 21 23 35 64,10,
2014-02-04,25 44 49 60 73,9,
2014-01-31,03 09 13 47 52,8,
2014-01-28,07 16 28 53 60,2,
2014-01-24,22 45 46 47 65,10,
2014-01-21,08 23 33 45 52,4,
2014-01-17,01 10 26 31 51,11,
2014-01-14,04 23 26 62 69,13,
2014-01-10,08 28 36 37 57,8,
2014-01-07,13 34 56 62 64,6,
2014-01-03,22 24 25 40 70,5,
2013-12-31,08 12 34 52 58,8,
2013-12-27,04 15 35 48 49,11,
2013-12-24,23 34 53 58 73,2,
2013-12-20,03 04 31 49 57,6,
2013-12-17,08 14 17 20 39,7,
2013-12-13,19 24 26 27 70,12,
2013-12-10,05 12 22 41 65,13,
2013-12-06,11 29 44 63 64,3,
2013-12-03,07 12 41 44 59,3,
2013-11-29,09 41 43 47 57,5,
2013-11-26,27 44 59 74 75,3,
2013-11-22,17 23 35 36 44,8,
2013-11-19,14 15 29 49 63,2,
2013-11-15,25 44 49 54 63,8,
2013-11-12,20 30 32 42 71,15,
2013-11-08,41 42 51 57 65,7,
2013-11-05,02 11 42 64 74,2,
2013-11-01,32 35 49 62 67,1,
2013-10-29,20 33 50 53 54,7,
2013-10-25,06 16 45 54 60,15,
2013-10-22,02 03 19 52 71,14,
2013-10-15,04 23 30 43 50,11,
2013-10-11,03 27 37 45 48,46,
2013-10-08,06 15 19 23 40,5,
2013-10-04,04 16 24 25 44,5,
2013-10-01,07 10 30 37 53,1,
2013-09-27,09 23 27 49 51,38,
2013-09-24,04 11 32 39 40,33,
2013-09-20,01 15 20 21 47,34,
2013-09-17,06 15 27 31 39,25,
2013-09-13,09 22 28 48 54,8,
2013-09-10,02 12 18 54 56,1,
2013-09-06,02 16 17 22 41,31,
2013-09-03,04 13 14 28 41,28,
2013-08-30,06 19 24 43 44,33,
2013-08-27,04 07 30 36 38,38,
2013-08-23,01 09 17 20 53,14,
2013-08-20,13 28 35 38 41,33,
2013-08-16,07 13 26 36 46,37,
2013-08-13,02 31 32 37 41,40,
2013-08-09,11 20 30 34 38,12,
2013-08-06,01 11 16 51 55,41,
2013-08-02,08 21 23 25 39,4,
2013-07-30,25 27 36 42 44,39,
2013-07-26,04 22 23 27 38,42,
2013-07-23,25 32 35 50 51,46,
2013-07-19,16 20 24 39 42,46,
2013-07-16,10 14 21 40 53,20,
2013-07-12,04 05 25 27 51,10,
2013-07-09,03 21 43 45 48,14,
2013-07-05,02 23 41 47 54,42,
2013-07-02,36 42 51 52 53,40,
2013-06-28,08 15 35 46 52,38,
2013-06-25,03 05 28 33 51,16,
2013-06-21,03 14 17 40 50,3,
2013-06-18,06 17 34 40 48,30,
2013-06-14,02 05 31 33 34,20,
2013-06-11,15 40 45 50 53,28,
2013-06-07,01 10 37 48 55,21,
2013-06-04,10 11 12 20 55,19,
2013-05-31,02 20 26 44 46,26,
2013-05-28,04 12 25 32 54,36,
2013-05-24,04 05 16 18 53,28,
2013-05-21,02 15 17 48 55,11,
2013-05-17,11 15 35 43 49,41,
2013-05-14,06 10 12 28 32,38,
2013-05-10,01 19 20 39 49,28,
2013-05-07,01 06 13 20 51,31,
2013-05-03,02 20 34 42 54,39,
2013-04-30,21 30 34 39 49,43,
2013-04-26,17 42 49 54 55,31,
2013-04-23,09 21 22 32 50,10,
2013-04-19,06 08 12 22 43,28,
2013-04-16,02 05 15 18 39,42,
2013-04-12,01 10 13 19 21,28,
2013-04-09,17 30 41 48 54,13,
2013-04-05,08 15 23 36 41,5,
